vacancy name,vacancy link,salary,suite_info,date of placement,city
Backend-разработчик (Python),https://www.superjob.ru/vakansii/backend-razrabotchik-34288204.html,"{'minimum': 150000, 'maximum': 'нет сведений', 'currency': 'руб.'}",Север-Авто-М,5:00 , Москва
Python developer,https://www.superjob.ru/vakansii/python-developer-34284293.html,По договорённости,Синема Стар,Вчера ," Москва, Выставочная"
Python / Full stack-разработчик,https://www.superjob.ru/vakansii/python-34337426.html,"{'minimum': 150000, 'maximum': 180000, 'currency': 'руб.'}",Частный рекрутер Бельтюкова Мария Александровна,Вчера , Москва
Senior Python Developer,https://www.superjob.ru/vakansii/senior-python-developer-34421314.html,По договорённости,"РА ""Подбор персонала @ HR аудит""",6 сентября , Москва
Full-stack-веб-программист python/javascript,https://www.superjob.ru/vakansii/full-stack-veb-programmist-python-33998693.html,По договорённости,ФГБУ Центр стратегического планирования МФБА России,1 сентября ," Москва, Щукинская улица, 5с6"
Программист Python,https://www.superjob.ru/vakansii/programmist-python-34345798.html,"{'minimum': 120000, 'maximum': 150000, 'currency': 'руб.'}",КИБЕРБОРЕЯ,1 сентября , Москва
Веб-разработчик / Веб-программист,https://www.superjob.ru/vakansii/veb-razrabotchik-34446777.html,По договорённости,"Дом Фарфора и ""Williams Et Oliver"" — домашняя утварь",12:18 ," Москва, Островная улица, 2"
Java Team Lead,https://www.superjob.ru/vakansii/java-team-lead-34294532.html,По договорённости,Технопарк «Сколково»,12:07 , Москва
Программист C++,https://www.superjob.ru/vakansii/programmist-c-34403007.html,По договорённости,БИФИТ,11:50 ," Москва, Нижняя Первомайская улица, 46, Первомайская"
Программист,https://www.superjob.ru/vakansii/programmist-34373450.html,"{'minimum': 30000, 'maximum': 'нет сведений', 'currency': 'руб.'}",Медицинский колледж № 7,11:30 , Москва
Ведущий инженер-программист / разработчик программных решений,https://www.superjob.ru/vakansii/veduschij-inzhener-programmist-34302346.html,По договорённости,ИТ-Индустрия,11:20 ," Москва, Хорошёвское шоссе, 12к1"
Сетевой инженер,https://www.superjob.ru/vakansii/setevoj-inzhener-34348281.html,По договорённости,МАСТЕРХОСТ,10:50 ," Москва, Кожуховская"
Учитель информатики,https://www.superjob.ru/vakansii/uchitel-informatiki-27807302.html,По договорённости,ГБОУ Школа № 1270,10:07 ," Москва, Товарищеский пер., д. 21"
Ведущий инженер,https://www.superjob.ru/vakansii/veduschij-inzhener-34301060.html,По договорённости,MOSLINE,9:20 ," Москва, Румянцево"
Преподаватель компьютерных IT курсов и дизайна,https://www.superjob.ru/vakansii/prepodavatel-kompyuternyh-it-kursov-i-dizajna-34462129.html,"{'minimum': 'нет сведений', 'maximum': 150000, 'currency': 'руб.'}",Школа программирования CODDY,Вчера , Москва
Инженер по автоматизированному тестированию,https://www.superjob.ru/vakansii/inzhener-po-avtomatizirovannomu-testirovaniyu-34417736.html,"{'minimum': 'нет сведений', 'maximum': 200000, 'currency': 'руб.'}",Bell Integrator,Вчера , Москва
Senior SQL / PostgreSQL-разработчик,https://www.superjob.ru/vakansii/senior-sql-34449372.html,По договорённости,Квантбокс,Вчера ," Москва, Тверская улица, 9с7, Охотный ряд и ещё 2 станции"
Программист / Инженер технической поддержки,https://www.superjob.ru/vakansii/programmist-34369639.html,"{'minimum': 110000, 'maximum': 110000, 'currency': 'руб.'}",Смарт Энджинс Сервис,Вчера ," Москва, проспект 60-летия Октября, 9, Ленинский проспект"
Системный инженер / Системный администратор,https://www.superjob.ru/vakansii/sistemnyj-inzhener-34416813.html,По договорённости,Автоотдел,Вчера , Москва
Разработчик Ruby,https://www.superjob.ru/vakansii/razrabotchik-ruby-34363353.html,По договорённости,Бюджетные и Финансовые Технологии,Вчера , Москва
